index,countryoforigin,visits_2002,visits_2003,visits_2004,visits_2005,visits_2006,visits_2007,visits_2008,visits_2009,visits_2010,visits_2011,visits_2012,visits_2013,visits_2014,visits_2015,visits_2016,visits_2017,visits_2018,visits_2019,visits_2020p,nights_2002,nights_2003,nights_2004,nights_2005,nights_2006,nights_2007,nights_2008,nights_2009,nights_2010,nights_2011,nights_2012,nights_2013,nights_2014,nights_2015,nights_2016,nights_2017,nights_2018,nights_2019,nights_2020p,spend_2002,spend_2003,spend_2004,spend_2005,spend_2006,spend_2007,spend_2008,spend_2009,spend_2010,spend_2011,spend_2012,spend_2013,spend_2014,spend_2015,spend_2016,spend_2017,spend_2018,spend_2019,spend_2020p,sample_2002,sample_2003,sample_2004,sample_2005,sample_2006,sample_2007,sample_2008,sample_2009,sample_2010,sample_2011,sample_2012,sample_2013,sample_2014,sample_2015,sample_2016,sample_2017,sample_2018,sample_2019,sample_2020p
45,Portugal,97.8,97.5,97,113.6,120.8,144.1,133.8,136.7,172.4,165.6,153,138,191.3,223,279.9,257.1,215.8,353.7,82.2,582.1,434.4,631.9,763.9,488.4,729,712.8,645.3,1115.2,817.8,1157.7,819.2,1328.8,1203.8,1626.4,1484.9,1133,2243.6,414.6,49.1,38.5,41.4,65.7,41.8,66.4,68.8,66,74.8,76.5,80.7,61.2,86,99.8,123.7,127.6,84.1,210.3,36.8,183,169,157,171,169,164,131,204,250,212,179,168,184,211,233,166,111,132,36.8
46,Qatar,,,,,,,,,,24.6,31.7,43.6,32.8,41.8,51.4,60,59.9,109.3,23.4,,,,,,,,,,253.4,253.8,413.6,293.2,356.6,525.1,967.2,629.5,1001.7,221.4,,,,,,,,,,63.5,68.9,155.7,100.1,104.1,126.2,168,127.3,403.8,47.9,,,,,,,,,,38,60,78,60,64,74,89,75,82,47.9
47,Romania,,,,,,,101.1,107.8,121.9,127.9,109.8,158.6,170.5,237.7,277.6,320.9,313.9,309.4,72,,,,,,,1195.4,1403.1,1554.5,1385.9,1457.8,1771.8,2382.2,2946.1,4876.2,2902.9,3671.2,4171.4,704,,,,,,,44.9,51.9,71.7,67.4,57.4,100.4,99.1,121.8,194.3,147.5,170.6,209.5,35.9,,,,,,,75,110,145,152,140,181,170,158,193,214,122,120,35.9
48,Russia,143.2,160.1,193.4,133.2,159.6,165.1,125,85.7,119.1,154.4,155.3,147.2,164.8,99,92.6,153.3,121.9,118.7,25.8,943.9,1957.9,3216.8,951.6,1165.8,1451,757.5,545.1,905.6,1291.4,1122.5,957,1340.8,772.6,718.4,1138.7,825,881.2,153.2,119.3,166.5,189.1,105.1,126.5,193.2,113.9,87.8,120.2,234.3,165,168.8,178.5,83.6,78.2,137.8,121.8,111.6,24.7,214,221,260,163,172,198,123,122,185,186,187,186,175,107,109,154,125,110,24.7
49,Saudi Arabia,42.8,34.1,37.7,37,39.5,56.5,63.8,58.6,54.2,66.8,74.4,90.9,99.1,103.9,108.5,114.6,120.5,185.9,31.3,384.5,294.7,364.4,438.3,442.5,621.4,714,571.6,424.6,761.8,645.8,906.9,1052,1151.9,1095.9,1569.8,1249.7,1845.8,260.6,59.6,47.8,54.2,74.4,87.6,93.7,138,120.2,101.5,175.5,202.8,218.7,250.3,317.3,253,739.1,315.3,492,74.7,124,99,92,95,89,111,107,158,134,111,146,166,174,165,154,169,167,192,74.7
50,Serbia,,,,,,,,,,18.8,17.8,16.3,12.5,16.9,12.9,22,17.3,7.9,6.4,,,,,,,,,,118.3,245.4,122.4,69.7,222.2,269.4,151.5,99,31.5,59,,,,,,,,,,16.7,16.6,8.9,8.5,9.9,7,11.5,14.9,3.6,3.1,,,,,,,,,,26,23,24,19,22,12,18,18,13,3.1
51,Singapore,57.5,52.6,57.2,49.9,70.9,63.4,77,64.7,89.2,88.9,106.7,91.5,120.6,148.6,124.5,155.8,121.8,159.5,10.2,328.8,277.1,331.7,359.5,506.9,449.2,403.6,410.8,533.3,585.1,861.3,495.5,735.2,946.9,702.8,909.6,1033.6,951.5,105.1,32.4,39.9,40.3,35.3,54.7,61.6,62.1,59.3,77.1,105.7,125.5,122.8,144.3,212.4,128.2,173.4,143.4,200,13.2,148,135,139,145,172,154,139,166,229,191,230,213,224,214,173,162,123,138,13.2
52,South Africa,162.5,156.8,167.6,180.1,216.8,174.8,164.2,131.5,123.4,108.7,118.8,142.3,124.5,134.5,103.8,128.6,113.1,121.9,15.9,2008.1,1662.9,1732.8,1568.2,2549.6,2115.2,1571.1,1684.6,960.3,773.5,1026.9,1380,996.7,1059.5,909.8,1009.7,788.5,856.3,108.1,111.2,152.3,97.5,106.5,134.7,124.7,126.5,79.6,106.4,87.5,115.1,131.8,132.1,138.8,111.5,140.2,112.7,126.5,13.8,452,407,404,454,481,365,292,320,272,208,222,273,237,234,202,200,166,167,13.8
53,South Korea,67,88.6,114.6,119.1,119.4,128,109.5,58,84.8,108.1,130.7,154.8,164.6,181.9,160.3,164.4,137.1,265.9,52.4,548.8,568.5,513.4,868.8,684.4,828,1244.2,635.2,856.5,691.9,631.7,914.3,1075.2,799.8,1098.8,1031.7,777.5,1850.2,234.5,35.8,39.6,40.4,46.3,44.5,64.6,67.5,48.5,50.7,79,66.1,83.3,127.6,82.3,105.2,129,108.4,215.1,25.3,108,134,165,203,153,130,118,96,96,102,128,140,163,145,128,149,116,122,25.3
54,Spain,444.4,526.6,691.6,709.7,933.5,967.5,895.3,1011.3,875.2,894.8,795.9,865.7,984.3,1153.2,1281.7,1224.2,1254.5,1212.3,173.8,3255.1,3568.5,4201.3,4289.9,5189.6,5224,4496.6,5067,4542.4,4785.4,4923.3,5335.7,6129.1,6017.2,7448.9,7037.6,5936.6,6202.6,1147.1,212,220.6,273.3,268.8,376.4,402.8,381.1,463.8,403.2,436.2,365.6,498.7,508.8,513.2,542.8,555.4,618.6,488.3,86.2,574,636,733,701,887,758,681,1326,1326,1115,795,860,884,917,949,784,608,556,86.2
55,Sweden,291.9,307.9,327.2,333.8,383.1,401.9,417.5,335.1,442.6,457.7,503.1,516.1,547.4,553.6,506,509.1,456.6,458.4,56.8,1264,1299.2,1478.8,1653.7,1390.6,1832.9,1736.5,1404.2,1699.1,1979,2038.2,2223.4,1942.9,2315.7,2114,1968.4,1729.8,1810.1,190.5,113,105.9,120.8,118,143.4,155.7,195.9,146.5,206.8,238,239.7,277.6,325.2,365.2,289.6,276.2,225.1,235.3,34.4,552,498,536,531,585,611,644,888,931,799,784,801,738,654,530,408,288,239,34.4
56,Switzerland,310.6,297.1,292.6,331.4,389.2,372.4,348.2,354.3,314.5,391.2,425,453.8,503.1,504.4,527,505.7,424.2,486,87.7,1149.1,1217.3,1066.2,1388.1,1943.1,1492.7,1380.4,1612.7,1178.9,1752.6,1689.4,1908.3,1853.6,2300.1,2172.3,1714.3,2193.1,1653.8,269,129.7,125.6,138.3,163.9,206.2,184,157.8,202.8,162.2,233.4,337.6,303,308.5,333,378.9,278.2,245.4,282.3,77.4,426,376,485,518,507,476,300,393,389,404,437,462,475,503,488,384,283,282,77.4
57,Taiwan,18.9,20.4,23.3,22.1,18.9,23.1,17.8,23.1,23.3,23.6,27,28.8,37.9,33.7,36.8,54.6,63.1,122.5,10.3,205.2,236.2,224.6,238.9,124.6,136.5,388,146.6,215.3,112.9,430.6,224.6,403.5,340.6,297.3,388.8,335.6,762.4,57.9,16,15.6,18.6,16.9,9.9,18.7,19.2,55,21.8,9.2,35.2,34.2,38.9,62.8,28.4,47.4,58.5,158.9,8.2,43,38,51,40,41,43,31,67,58,36,43,46,60,49,53,68,47,65,8.2
58,Thailand,21.4,26.3,29.6,27.3,29.7,36.5,22,39.4,30.1,35.9,38,41.9,35.5,43.3,46.3,59.3,54.4,121.3,17.6,180.1,200.4,262.3,205.7,361.9,415.4,268.5,384.9,453.6,419.5,384.8,271.7,332.5,510.9,443.6,414.5,409.6,866.3,120.5,13.7,18.7,23.6,21.3,23,33,18.6,34.3,25.2,43.3,35.3,58.2,30.2,51.9,48.2,54.9,60.6,158.9,29.4,48,67,71,66,71,74,48,87,82,77,98,91,73,59,60,55,55,47,29.4
59,Turkiye,41.2,61,55.9,51.9,91.6,77.9,75.4,58.9,71.7,69.4,91.5,90.8,103,116.8,114.5,106.7,110,187.6,15.9,381,536.7,494.1,372.5,1167.7,841.2,614.6,530.1,645,669.8,913.9,627.9,817.3,627.3,917.4,821.9,866.4,989,91.6,31.7,44.5,50.9,60.5,56.7,94.6,62.3,50.9,76.3,73.3,101.5,83.6,100.9,79.7,106.5,72.5,107.3,147.8,46.2,89,97,102,88,142,133,120,142,185,157,201,156,190,139,129,86,88,84,46.2
60,United Arab Emirates,60.6,58.3,73.2,61.8,89.1,91.5,123.7,121.4,107.2,118.2,133.3,161.3,152.1,181.3,185.4,201.7,208.8,313.8,47,663,539,689.3,562.3,867,838.4,849.9,1119.1,1133.8,973.6,1228.3,1651.5,1187.9,1504.9,1356.5,1763.8,1602.2,2259.5,315.5,68.7,58.4,95,90.4,107.3,101.2,173.3,184.4,174.2,141.3,286.1,415.7,297.6,301.4,306,434.6,411.6,554.3,103.8,180,151,170,181,219,212,246,303,289,236,294,334,323,327,298,353,334,330,103.8
61,United States,2446.3,2233.1,2406.4,2276.8,2536.9,2333.6,1907.9,1839.1,1765.6,1842.8,1862.3,1877.9,1982.2,2142.3,2321.7,2617.3,2631.2,3087.8,497.1,14139.1,12677.5,13340.7,12346,13843.4,13218.5,11463.8,10242.8,11390.2,10485.4,11225.7,10265.3,13388.3,11832.4,12435.2,15196.1,14965.5,14361.8,2639,1462.3,1412.3,1400.7,1473.2,1598.6,1578.1,1333.4,1278.8,1295.3,1386.6,1487,1522.3,1667.5,1811.1,1981.8,2232.1,2042.7,2454.8,387.8,6270,5685,6038,5814,5595,4540,3192,3953,3775,3077,3259,3323,3278,3186,3342,3519,2961,3593,387.8
62,Grand Total,11603.4,11695.8,13389.3,13892.6,15592.6,15339.8,14753,14211.3,14705.5,15289.5,15460.9,16810.8,17404.2,18581.1,19059.5,19827.8,19090.2,21713.5,3696.3,75402.1,78946.7,90237.3,91843.3,101067.6,95846.1,90814.9,85685.7,90317.9,91498.4,94299.7,98118.8,108006.5,108321.4,111058.4,114016.5,110932.2,118872.4,21373.3,5787.9,5869.9,6439.3,6858.6,7821.6,8192.4,8125.7,8238.2,8741.2,9411.4,10074.5,11495.6,11825.4,11919.2,11868.6,13546.6,12329.4,15725,2555.6,22359,20906,23309,23994,24206,21596,17997,23075,23459,20201,20381,21835,20725,20206,19800,18638,14475,15079,2555.6
63,Q1 (January-March),2194.519118,2529.72233,2736.403266,3090.874709,2992.327591,3282.938939,3275.398197,2991.180136,2975.000032,3145.166842,3238.596637,3334.13289,3509.465626,3568.62397,3871.899721,4483.669786,4031.780655,4555.766215,,,,,,,,,,,,,,,,,,,,,1084.382545,1285.789257,1285.789257,1445.51033,1474.59438,1637.425248,1633.871932,1643.183315,1653.570014,1834.017448,1884.264608,2126.948409,2403.714018,2159.078967,2278.613424,2683.310475,2564.779117,3122.450694,,,,,,,,,,,,,,,,,,,,
64,Q2 (April-June),2996.205627,2795.592924,3371.039412,3704.257871,4070.894011,3947.732564,3915.080621,3748.283959,3581.730937,4018.948604,4115.636011,4523.958919,4824.019196,5140.409483,4983.304514,5514.332258,4936.155022,5373.786327,,,,,,,,,,,,,,,,,,,,,1442.622636,1645.658183,1645.658183,1707.399077,1946.648918,1942.947254,2070.411886,2090.521113,2267.361715,2259.948857,2461.57254,2855.038469,2949.095091,3167.293359,2993.283348,3442.157947,3076.900829,3718.874802,,,,,,,,,,,,,,,,,,,,
65,Q3 (July-September),3501.537557,3445.821864,3868.16858,3723.463713,4688.816728,4343.078365,4130.338507,4023.865154,4285.271092,4427.02546,4082.260895,4819.729032,4945.598666,5237.745131,5199.559522,5242.301766,5246.846093,6122.331938,,,,,,,,,,,,,,,,,,,,,1748.546449,1834.114033,1834.114033,1844.329447,2381.074678,2461.567096,2345.695466,2419.755253,2460.263176,2819.221194,3212.410503,3373.471667,3627.178942,3476.289274,3363.584783,4386.233629,3540.189037,4482.575959,,,,,,,,,,,,,,,,,,,,
66,Q4 (October-December),2911.119741,2924.613367,3413.719029,3373.973232,3840.608271,3766.021184,3432.176867,3447.968563,3863.539616,3698.351808,4024.370703,4132.937381,4125.132162,4634.366773,5004.782141,4587.512011,4832.63109,5661.580696,,,,,,,,,,,,,,,,,,,,,1512.301891,1673.713398,1673.713398,1861.342276,2019.282121,2150.466966,2075.706658,2084.770232,2359.977063,2498.196569,2516.29573,3140.09434,2845.424529,3116.583804,3233.09238,3034.015574,2976.890106,4401.100787,,,,,,,,,,,,,,,,,,,,
