index,countryoforigin,visits_2002,visits_2003,visits_2004,visits_2005,visits_2006,visits_2007,visits_2008,visits_2009,visits_2010,visits_2011,visits_2012,visits_2013,visits_2014,visits_2015,visits_2016,visits_2017,visits_2018,visits_2019,visits_2020p,nights_2002,nights_2003,nights_2004,nights_2005,nights_2006,nights_2007,nights_2008,nights_2009,nights_2010,nights_2011,nights_2012,nights_2013,nights_2014,nights_2015,nights_2016,nights_2017,nights_2018,nights_2019,nights_2020p,spend_2002,spend_2003,spend_2004,spend_2005,spend_2006,spend_2007,spend_2008,spend_2009,spend_2010,spend_2011,spend_2012,spend_2013,spend_2014,spend_2015,spend_2016,spend_2017,spend_2018,spend_2019,spend_2020p,sample_2002,sample_2003,sample_2004,sample_2005,sample_2006,sample_2007,sample_2008,sample_2009,sample_2010,sample_2011,sample_2012,sample_2013,sample_2014,sample_2015,sample_2016,sample_2017,sample_2018,sample_2019,sample_2020p
10,Czech Republic,63.6,79.7,126.1,106.9,112,134.1,169.7,144.8,109.7,108.7,144.6,136.5,134.7,166.3,155.6,148.6,163.4,178.2,38.5,647.6,526.5,624.3,598.3,974.2,842.6,761.6,805.9,545.5,650.6,723.7,865.1,744.7,1375.3,1033.2,634.2,659.3,861,236.4,18.1,34.1,31,38.3,37.5,39.7,44.3,50.9,40.5,40.4,47.3,52.1,46.8,57.6,72.3,52.9,53.2,88,20.5,49,73,110,91,86,88,118,157,122,121,174,161,153,152,135,115,75,91,20.5
11,Denmark,191.4,209.8,238.1,286.7,291.3,312.3,298.4,332.2,273.8,340.2,325.7,378.5,339.4,422.7,412.8,407.2,451.7,355,43,888.1,911,984.4,1417.7,1128.1,1264.6,1080.3,1247.6,1055.6,1416.3,1427.4,1438.5,1159.5,1602.7,1528.5,1529.7,1701.1,1309.8,186.7,73.2,83.8,101.6,114.7,117.8,143.5,137.2,165.9,142.3,159.9,183,196.7,162.6,195.1,217,217.4,233,203,26.4,314,335,359,400,412,391,406,535,469,419,389,445,376,378,350,278,211,150,26.4
12,Egypt,19.7,25,21.6,19.5,33.6,21.8,31.6,30.5,31,29.9,35,39.1,39.9,38.1,34.1,29.4,23.9,38.2,7.9,264.6,215.9,224.2,282.7,334.8,194.6,326.7,302.2,327.2,229.3,318,316.7,333.1,413.9,419.8,190.4,193.1,253.8,89.3,27,26.9,26.4,25.1,32.5,66.9,37.1,48.2,48.1,46.5,45.9,59.1,113.2,63.2,80.7,64.5,30.8,61,15.9,64,67,62,57,74,53,58,80,79,66,84,85,82,62,55,35,24,30,15.9
13,Finland,66.3,59.3,78.1,97.5,102.6,99.4,94.9,94.4,103.6,124.5,130.7,134.2,159.4,160.7,161.5,161.9,122.4,113.3,31.1,489.6,300.8,395.9,415.2,520.4,403.7,411.1,350.4,439.3,611.6,598.4,774.7,817.5,737.4,630,647,443.2,404.1,120.7,27.3,26.6,35.1,37.3,42.7,37.9,46.8,48.6,52.3,73.3,73.7,72.7,77.6,86.5,78.4,75.1,61,57.8,13.9,127,110,127,161,131,148,130,306,336,313,311,250,293,254,242,245,187,156,13.9
14,France,1102.9,1190.9,1258.1,1367.3,1447.5,1342.4,1409.9,1528.2,1624.3,1600.5,1681.3,1904,2010,2071.4,1993.4,2014.7,1834.6,1837.1,375.1,4475.6,5136.4,5810,5887.2,7323,6524.1,6580.5,6395.8,6639.5,6603.6,7130.3,7596.6,8688.8,8875.6,8371,8743.9,8074.1,6871,1240.9,296,332.4,322.4,356.5,431,406.4,444.9,472.3,543.7,530.2,744.9,689.1,789,762.8,711.5,753.8,703.5,761.6,147.5,1627,1675,1990,2190,2156,1771,1484,1414,1520,1362,1387,1589,1549,1612,1546,1390,951,990,147.5
15,Germany,889.4,891.7,1172.9,1280.9,1274.7,1196.6,1052.4,1068.9,1257.4,1214.5,1199.1,1295.3,1341.1,1401.2,1472.8,1462.3,1452.4,1507.1,246.2,3954.6,4475.3,4886.7,5757.9,5607.8,4732,4665,4216.9,5736,5691.4,5060.7,5705.2,6306.5,6021.9,6333,5705.9,5506.5,5697,862.2,275.3,290.5,337.5,393.9,405.4,391.9,418.2,353.5,465,480.4,483.3,540,621.9,549.3,618.5,606.5,626.9,707.3,101.4,1167,1061,1266,1375,1321,1245,1059,1519,1572,1362,1264,1480,1398,1457,1553,1218,855,809,101.4
16,Greece,97.8,96.6,109.8,111.8,102.5,99.6,124.4,116.9,104.5,134.4,92.3,110.8,155.4,147.8,146.6,133.4,103.6,162.1,37.5,694.8,648.1,767.2,685.6,619.7,498.1,946.2,609.2,735.4,893.2,618.9,780.4,1084.4,1289.5,748,853,457,804.2,214.7,76.7,81.5,74.9,71,73.7,109.2,104.7,88.3,81.6,98,65.6,96.5,90.5,115.4,90.8,90.6,50.2,121.6,24,164,154,179,155,156,110,144,160,173,163,113,164,193,159,150,114,67,98,24
17,Hong Kong,96.1,78.8,82.9,88.9,96.6,85.1,84.5,86.7,84.4,97.9,92.7,99.5,107.5,134.4,145.4,154.8,181,268.4,27.8,600.7,488.8,475.6,482,502.6,512.6,553.2,566.1,565,766.2,618.2,688.8,844.1,977.5,1142.1,1325.2,5027.1,1667.8,171.3,74.6,60.4,63.8,76,64.3,74.3,76.9,67.2,84.7,104,90.9,137.5,137.7,162.8,155,188.1,298.2,348.1,28.7,288,226,211,228,215,200,170,249,235,210,213,219,233,223,232,251,239,266,28.7
18,Hungary,43.7,45.1,83.5,120.9,119.5,149.1,108.2,102.4,75.6,80.7,104.9,88.2,115.6,95.2,116.8,153.5,189.2,139.7,23.4,243.4,1022.3,757.5,1162,981.8,786.4,660.8,875.3,367,920.1,739.8,735,822.2,452.5,625.7,924.6,1220.2,564.1,78.8,12.5,20.8,30.1,55.1,38.2,62.6,32.4,51.4,22.9,47.5,43,36.2,31.3,26.2,41,58.3,53.4,62.7,6,50,48,69,95,99,88,77,108,90,94,119,102,116,83,92,108,80,70,6
19,Iceland,20.1,23.7,49.8,43,46.7,46.1,32.3,23.7,19.9,24.5,25.4,29,28.5,26.1,37.2,70.5,46.9,26.5,5.5,298,90.9,186.8,149,144.4,170.5,79.4,108,77.8,105.3,95.8,116.2,101.9,109.4,186.4,282.4,152,87.5,15.9,14.5,14.6,23.9,19.1,32.3,27.7,17,15.4,9.4,14.3,14.9,12.6,12.9,16.2,25.3,54.8,30.4,16.5,1.8,32,42,61,74,79,63,34,42,34,31,34,28,27,31,40,44,28,20,1.8
